ID,NOM,NOM_M,INSEE_COM,STATUT,POPULATION,INSEE_CAN,INSEE_ARR,INSEE_DEP,INSEE_REG,SIREN_EPCI
COMMUNE_0000000009741388,Montreuil-sous-Pérouse,MONTREUIL-SOUS-PEROUSE,35194,Commune simple,1029,27,1,35,53,200039022
COMMUNE_0000000009738980,Les Champs-Géraux,LES CHAMPS-GERAUX,22035,Commune simple,1047,08,1,22,53,200068989
COMMUNE_0000000009742391,Treffiagat,TREFFIAGAT,29284,Commune simple,2424,22,4,29,53,242900702
COMMUNE_0000000009740711,Cast,CAST,29025,Commune simple,1544,09,2,29,53,200067247
COMMUNE_0000000009737203,Saint-Quay-Portrieux,SAINT-QUAY-PORTRIEUX,22325,Commune simple,3175,22,4,22,53,200069409
COMMUNE_0000000009737244,Saint-Frégant,SAINT-FREGANT,29248,Commune simple,863,15,1,29,53,242900793
COMMUNE_0000000009741747,Bréal-sous-Montfort,BREAL-SOUS-MONTFORT,35037,Commune simple,6469,24,3,35,53,243500618
COMMUNE_0000000009738993,Plorec-sur-Arguenon,PLOREC-SUR-ARGUENON,22205,Commune simple,422,14,1,22,53,200068989
COMMUNE_0000000009742037,Corps-Nuds,CORPS-NUDS,35088,Commune simple,3543,12,3,35,53,243500139
COMMUNE_0000000009739020,Kerien,KERIEN,22088,Commune simple,249,03,2,22,53,200067981
COMMUNE_0000000009742672,Drouges,DROUGES,35102,Commune simple,503,10,1,35,53,200039022
COMMUNE_0000000009742343,Marcillé-Robert,MARCILLE-ROBERT,35165,Commune simple,971,10,1,35,53,243500634
COMMUNE_0000000009743350,Molac,MOLAC,56135,Commune simple,1641,16,3,56,53,245614383
COMMUNE_0000000009742046,Maxent,MAXENT,35169,Commune simple,1465,16,3,35,53,243500618
COMMUNE_0000000009741420,Évriguet,EVRIGUET,56056,Commune simple,207,13,2,56,53,200066777
COMMUNE_0000000009741772,Querrien,QUERRIEN,29230,Commune simple,1655,25,4,29,53,242900694
